open_id,customer_id,campaign_id,open_date
E0125,C006,campaign_9,2026-03-31
E0126,C006,campaign_7,2026-04-13
E0127,C006,campaign_6,2026-03-03
E0128,C006,campaign_12,2026-02-04
E0129,C006,campaign_9,2026-01-31
E0130,C007,campaign_12,2026-02-14
E0131,C007,campaign_7,2026-04-11
E0132,C007,campaign_2,2026-02-06
E0133,C007,campaign_10,2026-02-27
E0134,C007,campaign_5,2026-03-09
E0135,C007,campaign_12,2026-04-26
E0136,C007,campaign_4,2026-03-14
E0137,C007,campaign_8,2026-03-05
E0138,C007,campaign_6,2026-03-31
E0139,C007,campaign_11,2026-04-18
E0140,C007,campaign_9,2026-03-14
E0141,C007,campaign_6,2026-02-07
E0142,C007,campaign_7,2026-04-23
E0143,C007,campaign_4,2026-03-26
E0144,C007,campaign_8,2026-04-15
E0145,C007,campaign_11,2026-04-19
E0146,C007,campaign_11,2026-04-03
E0147,C007,campaign_10,2026-02-08
E0148,C007,campaign_1,2026-04-28
E0149,C007,campaign_4,2026-03-19
E0150,C007,campaign_10,2026-04-14
E0151,C007,campaign_2,2026-04-04
E0152,C007,campaign_4,2026-02-19
E0153,C007,campaign_4,2026-02-14
E0154,C007,campaign_6,2026-04-01
E0155,C007,campaign_10,2026-04-12
E0156,C007,campaign_5,2026-04-30
E0157,C007,campaign_3,2026-04-12
E0158,C008,campaign_2,2026-04-08
E0159,C008,campaign_1,2026-02-05
E0160,C008,campaign_1,2026-04-14
E0161,C008,campaign_4,2026-03-16
E0162,C008,campaign_6,2026-02-14
E0163,C008,campaign_3,2026-04-28
E0164,C008,campaign_1,2026-03-28
E0165,C008,campaign_12,2026-04-14
E0166,C008,campaign_9,2026-03-08
E0167,C008,campaign_12,2026-04-16
E0168,C008,campaign_8,2026-04-22
E0169,C008,campaign_6,2026-03-04
E0170,C008,campaign_10,2026-02-24
E0171,C008,campaign_8,2026-04-17
E0172,C008,campaign_4,2026-02-25
E0173,C008,campaign_1,2026-02-11
E0174,C008,campaign_9,2026-02-05
E0175,C008,campaign_8,2026-03-23
E0176,C008,campaign_1,2026-02-07
E0177,C008,campaign_8,2026-04-23
E0178,C008,campaign_7,2026-03-10
E0179,C008,campaign_2,2026-02-02
E0180,C008,campaign_12,2026-02-27
E0181,C009,campaign_2,2026-04-21
E0182,C009,campaign_10,2026-03-20
E0183,C009,campaign_2,2026-04-12
E0184,C009,campaign_5,2026-04-14
E0185,C009,campaign_11,2026-02-10
E0186,C009,campaign_9,2026-02-15
E0187,C009,campaign_7,2026-03-20
E0188,C009,campaign_9,2026-02-13
E0189,C009,campaign_8,2026-03-24
E0190,C009,campaign_10,2026-02-25
E0191,C009,campaign_2,2026-03-06
E0192,C009,campaign_2,2026-01-31
E0193,C009,campaign_11,2026-02-06
E0194,C009,campaign_12,2026-02-19
E0195,C009,campaign_7,2026-04-03
E0196,C009,campaign_4,2026-03-04
E0197,C009,campaign_6,2026-03-09
E0198,C009,campaign_7,2026-03-03
E0199,C009,campaign_12,2026-03-08
E0200,C009,campaign_6,2026-04-18
E0201,C009,campaign_6,2026-03-07
E0202,C009,campaign_5,2026-02-04
E0203,C009,campaign_3,2026-03-14
E0204,C009,campaign_8,2026-02-02
E0205,C009,campaign_2,2026-04-22
E0206,C009,campaign_2,2026-04-20
E0207,C009,campaign_2,2026-03-06
E0208,C009,campaign_3,2026-03-14
E0209,C009,campaign_1,2026-02-18
E0210,C010,campaign_2,2026-02-04
E0211,C010,campaign_6,2026-03-09
E0212,C010,campaign_7,2026-02-04
E0213,C010,campaign_5,2026-04-24
E0214,C010,campaign_5,2026-02-13
E0215,C010,campaign_2,2026-03-16
E0216,C010,campaign_9,2026-02-16
E0217,C010,campaign_3,2026-04-03
E0218,C010,campaign_8,2026-02-05
E0219,C010,campaign_2,2026-04-02
E0220,C010,campaign_9,2026-03-17
E0221,C010,campaign_2,2026-03-14
E0222,C010,campaign_10,2026-03-26
E0223,C010,campaign_7,2026-04-02
E0224,C010,campaign_10,2026-02-18
E0225,C010,campaign_11,2026-02-11
E0226,C010,campaign_9,2026-02-07
E0227,C010,campaign_10,2026-04-27
E0228,C010,campaign_12,2026-02-05
E0229,C010,campaign_1,2026-03-27
E0230,C010,campaign_5,2026-04-07
E0231,C010,campaign_5,2026-01-31
E0232,C010,campaign_6,2026-03-18
E0233,C010,campaign_3,2026-04-30
E0234,C010,campaign_10,2026-04-12
E0235,C011,campaign_3,2026-04-22
E0236,C011,campaign_1,2026-02-08
E0237,C011,campaign_12,2026-04-19
E0238,C011,campaign_4,2026-02-22
E0239,C011,campaign_7,2026-03-13
E0240,C011,campaign_6,2026-03-03
E0241,C011,campaign_6,2026-04-10
E0242,C011,campaign_12,2026-03-22
E0243,C011,campaign_10,2026-03-20
E0244,C011,campaign_2,2026-02-13
E0245,C011,campaign_3,2026-04-24
E0246,C011,campaign_10,2026-04-10
E0247,C011,campaign_11,2026-04-24
E0248,C011,campaign_5,2026-04-20
E0249,C011,campaign_11,2026-03-05
E0250,C011,campaign_8,2026-03-07
E0251,C011,campaign_8,2026-02-12
E0252,C011,campaign_5,2026-03-08
E0253,C011,campaign_9,2026-04-03
E0254,C011,campaign_6,2026-04-16
E0255,C011,campaign_2,2026-03-06
E0256,C011,campaign_11,2026-03-25
E0257,C011,campaign_10,2026-02-03
E0258,C011,campaign_9,2026-02-27
E0259,C011,campaign_5,2026-02-04
E0260,C011,campaign_4,2026-04-25
E0261,C011,campaign_10,2026-03-11
E0262,C012,campaign_4,2026-04-30
E0263,C012,campaign_4,2026-03-23
E0264,C012,campaign_5,2026-04-13
E0265,C012,campaign_6,2026-03-24
E0266,C012,campaign_1,2026-04-15
E0267,C012,campaign_12,2026-02-26
E0268,C012,campaign_3,2026-03-06
E0269,C012,campaign_7,2026-04-14
E0270,C012,campaign_12,2026-02-21
E0271,C012,campaign_9,2026-04-01
E0272,C012,campaign_11,2026-02-18
E0273,C012,campaign_2,2026-03-16
E0274,C012,campaign_12,2026-03-11
E0275,C012,campaign_7,2026-04-25
E0276,C012,campaign_8,2026-04-28
E0277,C012,campaign_6,2026-04-21
E0278,C013,campaign_10,2025-09-23
E0279,C013,campaign_12,2025-10-05
E0280,C013,campaign_7,2025-06-07
E0281,C013,campaign_2,2025-12-03
E0282,C014,campaign_6,2026-04-20
E0283,C014,campaign_10,2026-02-02
E0284,C014,campaign_12,2025-09-07
E0285,C015,campaign_7,2026-03-16
E0286,C015,campaign_4,2026-03-07
E0287,C016,campaign_7,2025-07-03
E0288,C016,campaign_2,2025-08-05
E0289,C016,campaign_5,2025-10-10
E0290,C017,campaign_6,2026-01-07
E0291,C017,campaign_2,2026-02-03
E0292,C018,campaign_2,2025-06-10
E0293,C018,campaign_9,2025-08-02
E0294,C018,campaign_6,2026-01-21
E0295,C018,campaign_12,2025-11-02
E0296,C019,campaign_2,2025-12-31
E0297,C020,campaign_4,2025-12-20
E0298,C021,campaign_3,2025-06-26
E0299,C023,campaign_8,2025-06-13
E0300,C024,campaign_10,2025-07-16
E0301,C024,campaign_11,2025-09-13
E0302,C024,campaign_11,2025-07-15
E0303,C025,campaign_11,2025-11-16
E0304,C025,campaign_3,2025-11-20
E0305,C025,campaign_2,2025-09-17
E0306,C025,campaign_8,2025-09-02
E0307,C026,campaign_10,2025-12-11
E0308,C026,campaign_6,2026-04-02
E0309,C027,campaign_5,2026-03-24
E0310,C027,campaign_8,2025-09-06
E0311,C027,campaign_1,2026-04-11
E0312,C027,campaign_5,2025-10-24
E0313,C030,campaign_9,2025-06-30
E0314,C030,campaign_8,2025-10-16
E0315,C030,campaign_9,2025-07-07
E0316,C030,campaign_8,2026-04-09
E0317,C031,campaign_10,2026-04-25
E0318,C031,campaign_9,2026-04-23
E0319,C031,campaign_1,2026-04-28
E0320,C031,campaign_2,2026-04-23
E0321,C031,campaign_6,2026-04-18
E0322,C032,campaign_11,2026-04-22
E0323,C032,campaign_1,2026-04-28
E0324,C032,campaign_12,2026-04-27
E0325,C033,campaign_9,2026-04-23
E0326,C033,campaign_10,2026-04-22
E0327,C033,campaign_6,2026-04-28
E0328,C033,campaign_5,2026-04-25
E0329,C033,campaign_7,2026-04-24
E0330,C033,campaign_6,2026-04-18
E0331,C033,campaign_10,2026-04-20
E0332,C033,campaign_11,2026-04-30
E0333,C033,campaign_6,2026-04-20
E0334,C034,campaign_2,2026-04-25
E0335,C034,campaign_11,2026-04-22
E0336,C034,campaign_5,2026-04-24
E0337,C035,campaign_11,2026-04-19
E0338,C035,campaign_10,2026-04-16
E0339,C035,campaign_3,2026-04-17
E0340,C035,campaign_2,2026-04-25
E0341,C035,campaign_11,2026-04-21
E0342,C035,campaign_6,2026-04-28
E0343,C036,campaign_12,2026-04-20
E0344,C036,campaign_7,2026-04-20
E0345,C036,campaign_10,2026-04-28
E0346,C036,campaign_2,2026-04-19
E0347,C036,campaign_9,2026-04-26
E0348,C036,campaign_11,2026-04-24
E0349,C037,campaign_3,2026-04-17
E0350,C037,campaign_12,2026-04-20
E0351,C037,campaign_12,2026-04-17
E0352,C037,campaign_9,2026-04-20
E0353,C037,campaign_11,2026-04-29
E0354,C037,campaign_7,2026-04-20
E0355,C037,campaign_6,2026-04-22
E0356,C038,campaign_5,2026-04-25
E0357,C038,campaign_4,2026-04-28
E0358,C039,campaign_8,2026-04-18
E0359,C039,campaign_4,2026-04-27
E0360,C039,campaign_3,2026-04-28
E0361,C039,campaign_5,2026-04-29
E0362,C039,campaign_2,2026-04-17
E0363,C039,campaign_9,2026-04-22
E0364,C039,campaign_12,2026-04-17
E0365,C040,campaign_11,2026-04-30
E0366,C040,campaign_10,2026-04-25
E0367,C040,campaign_10,2026-04-28
E0368,C040,campaign_3,2026-04-24
E0369,C040,campaign_3,2026-04-28
E0370,C040,campaign_12,2026-04-17
E0371,C040,campaign_10,2026-04-18
E0372,C040,campaign_3,2026-04-18
E0373,C040,campaign_8,2026-04-19
E0374,C040,campaign_7,2026-04-30
E0375,C041,campaign_12,2026-04-20
E0376,C041,campaign_8,2026-04-27
E0377,C041,campaign_5,2026-04-21
E0378,C041,campaign_12,2026-04-18
E0379,C041,campaign_8,2026-04-18
E0380,C041,campaign_9,2026-04-27
E0381,C041,campaign_5,2026-04-27
E0382,C042,campaign_4,2026-04-16
E0383,C042,campaign_11,2026-04-25
E0384,C042,campaign_8,2026-04-21
E0385,C042,campaign_5,2026-04-23
E0386,C042,campaign_7,2026-04-18
E0387,C042,campaign_9,2026-04-22
E0388,C042,campaign_3,2026-04-24
E0389,C042,campaign_4,2026-04-17
E0390,C042,campaign_10,2026-04-18
E0391,C043,campaign_5,2026-04-17
E0392,C043,campaign_11,2026-04-30
E0393,C043,campaign_6,2026-04-23
E0394,C043,campaign_2,2026-04-22
E0395,C044,campaign_2,2026-04-17
E0396,C044,campaign_2,2026-04-26
E0397,C044,campaign_3,2026-04-18
E0398,C044,campaign_8,2026-04-26
E0399,C044,campaign_9,2026-04-16
E0400,C044,campaign_7,2026-04-28
E0401,C044,campaign_4,2026-04-29
E0402,C044,campaign_8,2026-04-17
E0403,C044,campaign_6,2026-04-16
E0404,C044,campaign_1,2026-04-16
E0405,C045,campaign_7,2026-04-30
E0406,C045,campaign_6,2026-04-22
E0407,C045,campaign_7,2026-04-27
E0408,C045,campaign_6,2026-04-29
E0409,C045,campaign_1,2026-04-27
E0410,C045,campaign_2,2026-04-25
E0411,C045,campaign_12,2026-04-17
E0412,C045,campaign_6,2026-04-20
E0413,C046,campaign_1,2026-04-28
E0414,C046,campaign_8,2026-04-26
E0415,C046,campaign_3,2026-04-19
E0416,C046,campaign_12,2026-04-18
E0417,C047,campaign_10,2026-04-23
E0418,C047,campaign_2,2026-04-30
E0419,C047,campaign_5,2026-04-30
E0420,C047,campaign_3,2026-04-27
E0421,C047,campaign_12,2026-04-22
E0422,C047,campaign_9,2026-04-21
E0423,C047,campaign_2,2026-04-24
E0424,C047,campaign_5,2026-04-18
E0425,C047,campaign_5,2026-04-27
E0426,C048,campaign_4,2026-04-30
E0427,C048,campaign_11,2026-04-24
E0428,C048,campaign_10,2026-04-18
E0429,C049,campaign_2,2026-04-29
E0430,C049,campaign_8,2026-04-17
E0431,C049,campaign_9,2026-04-21
E0432,C049,campaign_11,2026-04-30
E0433,C049,campaign_10,2026-04-22
E0434,C049,campaign_12,2026-04-27
E0435,C049,campaign_5,2026-04-28
E0436,C049,campaign_1,2026-04-24
E0437,C049,campaign_6,2026-04-21
E0438,C050,campaign_7,2026-04-21
E0439,C050,campaign_11,2026-04-28
E0440,C050,campaign_2,2026-04-20
E0441,C050,campaign_6,2026-04-22
E0442,C050,campaign_9,2026-04-29
