order_id,customer_id,product_id,quantity,total,order_date
O0087,C008,P005,3,126.0,2026-01-26
O0088,C008,P006,2,190.0,2025-09-02
O0089,C008,P003,1,64.0,2025-06-20
O0090,C008,P003,3,192.0,2025-09-17
O0091,C008,P009,1,38.0,2025-09-04
O0092,C008,P007,3,165.0,2025-12-13
O0093,C008,P008,2,280.0,2025-10-17
O0094,C008,P009,2,76.0,2025-12-11
O0095,C008,P002,2,170.0,2026-01-03
O0096,C008,P009,1,38.0,2026-04-08
O0097,C009,P004,3,234.0,2026-04-05
O0098,C009,P003,1,64.0,2025-12-19
O0099,C009,P010,1,14.0,2026-04-14
O0100,C009,P010,1,14.0,2025-05-12
O0101,C009,P008,2,280.0,2025-09-15
O0102,C009,P001,1,28.0,2026-04-09
O0103,C009,P003,3,192.0,2025-12-08
O0104,C009,P009,1,38.0,2026-03-05
O0105,C009,P008,1,140.0,2026-01-27
O0106,C009,P009,3,114.0,2025-07-02
O0107,C009,P010,3,42.0,2025-08-16
O0108,C009,P009,2,76.0,2025-08-24
O0109,C009,P008,2,280.0,2025-07-30
O0110,C009,P004,1,78.0,2026-04-09
O0111,C010,P008,3,420.0,2025-07-07
O0112,C010,P002,3,255.0,2026-04-15
O0113,C010,P006,2,190.0,2026-04-21
O0114,C010,P003,1,64.0,2026-02-17
O0115,C010,P003,3,192.0,2026-04-07
O0116,C010,P007,2,110.0,2026-04-16
O0117,C010,P001,1,28.0,2025-08-30
O0118,C010,P010,3,42.0,2025-09-12
O0119,C010,P010,2,28.0,2026-04-01
O0120,C010,P005,2,84.0,2025-10-01
O0121,C010,P009,3,114.0,2025-08-28
O0122,C010,P004,2,156.0,2025-05-26
O0123,C010,P004,1,78.0,2026-04-21
O0124,C011,P006,3,285.0,2025-09-12
O0125,C011,P003,2,128.0,2025-09-04
O0126,C011,P009,1,38.0,2025-05-16
O0127,C011,P010,3,42.0,2025-05-31
O0128,C011,P007,1,55.0,2026-04-09
O0129,C011,P001,2,56.0,2025-12-27
O0130,C011,P008,2,280.0,2025-12-12
O0131,C011,P005,2,84.0,2025-09-17
O0132,C011,P008,1,140.0,2026-04-27
O0133,C011,P006,1,95.0,2026-03-04
O0134,C011,P001,1,28.0,2025-05-01
O0135,C011,P001,3,84.0,2025-12-18
O0136,C011,P008,3,420.0,2026-04-25
O0137,C011,P008,3,420.0,2026-04-23
O0138,C011,P005,1,42.0,2026-04-05
O0139,C012,P002,1,85.0,2026-04-10
O0140,C012,P010,1,14.0,2026-02-03
O0141,C012,P007,2,110.0,2025-06-09
O0142,C012,P002,3,255.0,2025-12-19
O0143,C012,P004,1,78.0,2025-05-13
O0144,C012,P010,1,14.0,2025-10-27
O0145,C012,P001,2,56.0,2025-06-14
O0146,C012,P002,3,255.0,2025-09-22
O0147,C012,P007,2,110.0,2026-03-24
O0148,C012,P008,3,420.0,2026-04-18
O0149,C012,P009,3,114.0,2026-04-24
O0150,C012,P009,2,76.0,2026-04-04
O0151,C012,P005,2,84.0,2025-05-31
O0152,C012,P004,1,78.0,2026-04-27
O0153,C013,P008,1,140.0,2024-12-04
O0154,C013,P008,2,280.0,2025-02-09
O0155,C013,P001,2,56.0,2025-09-09
O0156,C013,P006,1,95.0,2024-12-20
O0157,C014,P006,2,190.0,2025-11-12
O0158,C014,P005,2,84.0,2025-09-07
O0159,C014,P001,1,28.0,2025-05-20
O0160,C014,P004,2,156.0,2026-01-16
O0161,C014,P009,1,38.0,2025-06-23
O0162,C015,P008,2,280.0,2025-04-04
O0163,C015,P001,1,28.0,2025-01-19
O0164,C015,P004,2,156.0,2025-10-01
O0165,C015,P004,2,156.0,2025-03-11
O0166,C015,P010,2,28.0,2025-03-26
O0167,C016,P009,2,76.0,2025-05-21
O0168,C016,P009,2,76.0,2025-07-26
O0169,C016,P008,2,280.0,2025-09-01
O0170,C016,P005,1,42.0,2025-09-25
O0171,C016,P004,2,156.0,2025-12-29
O0172,C017,P009,1,38.0,2025-02-13
O0173,C017,P004,2,156.0,2025-11-22
O0174,C018,P010,2,28.0,2025-02-23
O0175,C018,P004,2,156.0,2026-01-08
O0176,C018,P006,1,95.0,2025-11-04
O0177,C018,P001,1,28.0,2025-09-27
O0178,C019,P001,2,56.0,2026-02-05
O0179,C019,P003,2,128.0,2025-03-08
O0180,C019,P001,2,56.0,2026-01-07
O0181,C019,P008,2,280.0,2025-07-03
O0182,C020,P001,2,56.0,2025-11-26
O0183,C020,P008,1,140.0,2024-12-14
O0184,C020,P002,2,170.0,2025-01-04
O0185,C020,P002,1,85.0,2025-06-22
O0186,C021,P010,2,28.0,2025-12-14
O0187,C021,P004,1,78.0,2026-01-16
O0188,C021,P007,1,55.0,2025-05-19
O0189,C022,P008,2,280.0,2025-08-18
O0190,C022,P010,2,28.0,2025-09-29
O0191,C022,P010,1,14.0,2025-09-25
O0192,C022,P002,1,85.0,2025-04-22
O0193,C022,P004,2,156.0,2025-04-14
O0194,C022,P002,1,85.0,2025-03-27
O0195,C023,P009,1,38.0,2025-12-02
O0196,C023,P001,2,56.0,2025-12-10
O0197,C023,P010,2,28.0,2025-07-13
O0198,C024,P004,2,156.0,2026-02-12
O0199,C024,P005,2,84.0,2025-03-04
O0200,C024,P004,2,156.0,2026-01-23
O0201,C024,P010,1,14.0,2025-01-21
O0202,C025,P009,1,38.0,2026-01-01
O0203,C025,P003,2,128.0,2025-04-03
O0204,C025,P003,1,64.0,2025-01-01
O0205,C025,P003,2,128.0,2026-01-29
O0206,C025,P010,2,28.0,2025-04-30
O0207,C026,P008,2,280.0,2025-12-27
O0208,C026,P007,2,110.0,2025-03-07
O0209,C026,P009,2,76.0,2025-06-17
O0210,C026,P002,1,85.0,2025-07-19
O0211,C026,P007,2,110.0,2024-11-30
O0212,C027,P001,1,28.0,2025-10-23
O0213,C027,P010,1,14.0,2025-11-03
O0214,C027,P005,1,42.0,2025-02-02
O0215,C027,P003,2,128.0,2025-02-03
O0216,C027,P008,2,280.0,2025-06-08
O0217,C027,P010,2,28.0,2025-11-28
O0218,C028,P008,2,280.0,2026-01-13
O0219,C028,P006,2,190.0,2025-08-03
O0220,C028,P002,1,85.0,2025-03-22
O0221,C028,P007,2,110.0,2025-09-13
O0222,C028,P007,1,55.0,2025-10-04
O0223,C029,P006,2,190.0,2026-01-14
O0224,C029,P002,2,170.0,2025-09-16
O0225,C029,P009,1,38.0,2024-12-13
O0226,C029,P009,2,76.0,2025-03-29
O0227,C029,P001,1,28.0,2025-08-01
O0228,C030,P010,2,28.0,2025-08-27
O0229,C030,P008,1,140.0,2025-04-14
O0230,C030,P005,1,42.0,2025-11-16
O0231,C030,P005,2,84.0,2024-11-11
O0232,C030,P008,1,140.0,2024-12-05
O0233,C030,P010,1,14.0,2026-02-14
O0234,C032,P001,1,28.0,2026-04-22
O0235,C034,P002,1,85.0,2026-04-23
O0236,C037,P005,1,42.0,2026-04-22
O0237,C043,P004,1,78.0,2026-04-21
O0238,C047,P007,1,55.0,2026-04-25
